R,CMC_val,CMC_err,kostlan_val,kostlan_err,ginibre_val,ginibre_err
10,3.2000000000,0.0584073464,3.2000000000,0.0584073464,2.4000000000,0.7415926536
50,3.2800000000,0.1384073464,3.0400000000,0.1015926536,3.2800000000,0.1384073464
100,3.3200000000,0.1784073464,3.0000000000,0.1415926536,3.0000000000,0.1415926536
200,3.2600000000,0.1184073464,3.1600000000,0.0184073464,3.1000000000,0.0415926536
500,3.1040000000,0.0375926536,3.0560000000,0.0855926536,3.1200000000,0.0215926536
1000,3.1080000000,0.0335926536,3.2120000000,0.0704073464,3.1120000000,0.0295926536
2000,3.1660000000,0.0244073464,3.1060000000,0.0355926536,3.1460000000,0.0044073464
4000,3.1290000000,0.0125926536,3.1430000000,0.0014073464,3.1360000000,0.0055926536
6000,3.1333333333,0.0082593203,3.1606666667,0.0190740131,3.1340000000,0.0075926536
8000,3.1370000000,0.0045926536,3.1780000000,0.0364073464,3.1380000000,0.0035926536
